song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Best of You,62.0,256600.0,0.0,0.4,0.9,0.0,1.0,0.1,-5.0,0.0,0.1,130.3,4.0,0.3
I Write Sins Not Tragedies,77.0,187613.0,0.1,0.6,0.8,0.0,9.0,0.1,-5.0,0.0,0.1,170.1,4.0,0.6
Kryptonite,79.0,233933.0,0.0,0.5,0.9,0.0,11.0,0.2,-5.7,0.0,0.0,99.0,4.0,0.5
The Kill (Bury Me),69.0,231533.0,0.0,0.3,0.9,0.0,4.0,0.6,-3.9,0.0,0.1,183.0,3.0,0.3
Use Somebody,79.0,230760.0,0.0,0.3,0.7,0.0,0.0,0.2,-5.4,1.0,0.0,137.0,4.0,0.2
No One Knows,13.0,255066.0,0.0,0.5,0.5,0.0,0.0,0.1,-5.8,1.0,0.0,171.0,4.0,0.7
Jerk It Out,62.0,195666.0,0.0,0.6,1.0,0.0,8.0,0.4,-2.6,0.0,0.1,134.0,4.0,0.9
Uprising,77.0,304840.0,0.0,0.6,0.9,0.1,2.0,0.1,-4.0,1.0,0.1,128.0,4.0,0.4
Hey There Delilah,79.0,232533.0,0.9,0.7,0.3,0.0,2.0,0.1,-10.6,1.0,0.0,104.0,4.0,0.3
Blurry,28.0,303920.0,0.0,0.4,0.9,0.0,3.0,0.1,-4.5,0.0,0.1,157.4,4.0,0.5
American Idiot,78.0,176346.0,0.0,0.4,1.0,0.0,1.0,0.4,-2.0,1.0,0.1,186.1,4.0,0.8
Welcome to the Black Parade,77.0,311106.0,0.0,0.2,0.9,0.0,2.0,0.2,-4.1,1.0,0.1,97.0,4.0,0.2
Gives You Hell,71.0,213106.0,0.0,0.7,0.7,0.0,4.0,0.1,-6.4,1.0,0.0,100.0,4.0,0.6
All My Life,11.0,262733.0,0.0,0.6,0.6,0.0,5.0,0.5,-5.7,1.0,0.1,167.7,4.0,0.7
Like a Stone,77.0,293960.0,0.0,0.6,0.6,0.0,7.0,0.1,-5.5,0.0,0.0,107.8,4.0,0.5
It's Been Awhile,65.0,264706.0,0.0,0.5,0.8,0.0,6.0,0.1,-4.1,1.0,0.0,116.5,4.0,0.1
I Hate Everything About You,75.0,231480.0,0.0,0.5,0.8,0.0,6.0,0.1,-5.2,0.0,0.0,89.3,4.0,0.5
Rollin' (Air Raid Vehicle),74.0,213760.0,0.0,0.6,0.9,0.0,9.0,0.3,-3.3,1.0,0.2,96.2,4.0,0.7
Fat Lip,74.0,178266.0,0.0,0.6,0.9,0.0,9.0,0.1,-5.2,1.0,0.1,98.1,4.0,0.6
The Pretender,11.0,269373.0,0.0,0.4,1.0,0.0,9.0,0.0,-4.0,1.0,0.0,173.0,4.0,0.4
Savior,73.0,242280.0,0.0,0.5,0.9,0.0,5.0,0.4,-3.5,0.0,0.0,112.4,4.0,0.5
Bodies,74.0,201960.0,0.0,0.7,0.9,0.0,4.0,0.1,-3.4,0.0,0.1,130.9,4.0,0.5
"Sugar, We're Goin Down",79.0,229093.0,0.0,0.5,0.8,0.0,7.0,0.2,-4.7,1.0,0.1,162.0,4.0,0.7
Last Nite,70.0,193373.0,0.0,0.6,0.9,0.0,0.0,0.1,-5.7,1.0,0.0,104.1,4.0,0.8
Through Glass,60.0,282946.0,0.0,0.5,0.8,0.0,3.0,0.4,-4.6,0.0,0.0,105.8,4.0,0.4
The Diary of Jane - Single Version,69.0,200546.0,0.0,0.4,1.0,0.1,10.0,0.1,-4.4,0.0,0.1,167.0,4.0,0.4
Down With the Sickness,73.0,279213.0,0.0,0.7,0.9,0.0,3.0,0.1,-4.3,0.0,0.1,90.0,4.0,0.9
Wish You Were Here,62.0,212733.0,0.0,0.2,0.8,0.3,9.0,0.1,-7.5,1.0,0.0,169.9,4.0,0.4
Youth Of The Nation,72.0,256240.0,0.0,0.6,0.9,0.0,8.0,0.4,-7.5,1.0,0.1,97.9,4.0,0.5
Vertigo,57.0,194520.0,0.0,0.4,0.8,0.0,2.0,0.1,-3.9,1.0,0.1,139.9,4.0,0.7
Miss Murder,71.0,206586.0,0.0,0.3,0.9,0.0,1.0,0.1,-4.5,1.0,0.0,143.5,4.0,0.7
I Bet You Look Good On The Dancefloor,63.0,173680.0,0.0,0.5,0.9,0.0,6.0,0.4,-4.2,0.0,0.0,103.2,4.0,0.8
"Steady, As She Goes",64.0,215266.0,0.0,0.5,0.6,0.0,9.0,0.1,-4.6,1.0,0.1,123.7,4.0,0.5
Falling Away from Me,71.0,270920.0,0.0,0.5,0.8,0.0,4.0,0.3,-7.0,1.0,0.0,104.1,4.0,0.2
Crawling In The Dark,61.0,175026.0,0.0,0.6,0.9,0.0,6.0,0.1,-4.5,0.0,0.1,93.7,4.0,0.7
I Stand Alone,67.0,246040.0,0.0,0.2,0.9,0.0,0.0,0.1,-4.5,1.0,0.1,169.2,4.0,0.4
Woman,63.0,176306.0,0.0,0.2,1.0,0.1,2.0,0.2,-3.6,1.0,0.2,112.9,1.0,0.2
Show Me How to Live,72.0,277840.0,0.0,0.4,0.9,0.0,9.0,0.2,-3.9,1.0,0.0,89.4,4.0,0.4
The Red,71.0,238400.0,0.0,0.5,0.8,0.0,1.0,0.3,-3.3,0.0,0.0,140.1,3.0,0.3
Remedy,70.0,207213.0,0.0,0.5,1.0,0.0,8.0,0.1,-4.7,1.0,0.1,127.8,4.0,0.4
Plug In Baby,65.0,218000.0,0.0,0.4,1.0,0.0,2.0,0.1,-4.2,1.0,0.1,136.0,4.0,0.3
Change (In the House of Flies) - In The House Of Flies LP Version,69.0,299533.0,0.0,0.3,0.9,0.0,7.0,0.1,-4.6,0.0,0.1,141.6,4.0,0.2
Judith,66.0,247266.0,0.0,0.4,0.9,0.2,11.0,0.3,-4.7,0.0,0.1,82.3,3.0,0.3
MIA (feat. Drake),94.0,210367.0,0.0,0.8,0.5,0.0,6.0,0.1,-6.4,0.0,0.1,97.1,4.0,0.2
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98.0,212500.0,0.2,0.8,0.8,0.0,1.0,0.1,-4.2,0.0,0.2,95.9,4.0,0.6
White Boi,59.0,185282.0,0.1,0.8,0.5,0.0,1.0,0.1,-6.9,1.0,0.1,128.0,4.0,0.6
Just Wanna Love You (feat. J. Balvin),73.0,199230.0,0.1,0.7,0.8,0.0,11.0,0.1,-6.1,1.0,0.1,95.0,4.0,0.3
Beautiful (feat. Camila Cabello),94.0,180000.0,0.3,0.6,0.7,0.0,2.0,0.1,-4.7,1.0,0.0,100.0,4.0,0.2
Celoso,87.0,179693.0,0.4,0.7,0.7,0.0,4.0,0.3,-4.2,0.0,0.1,166.0,4.0,0.7
Good Vibes,73.0,235720.0,0.0,0.8,0.6,0.0,7.0,0.1,-3.9,1.0,0.1,100.0,4.0,0.2
Real Friends,85.0,223583.0,0.2,0.7,0.5,0.0,0.0,0.1,-6.9,0.0,0.1,91.9,4.0,0.7
Pa La Calle,61.0,243487.0,0.1,0.7,0.9,0.0,0.0,0.1,-6.3,1.0,0.1,75.0,4.0,0.9
Pa Mí,58.0,210865.0,0.7,0.7,0.6,0.0,11.0,0.1,-8.5,0.0,0.3,170.0,4.0,0.6
Wake Up in the Sky,92.0,204664.0,0.0,0.8,0.6,0.0,4.0,0.4,-5.1,0.0,0.0,143.0,4.0,0.4
"Está Rico",83.0,215151.0,0.3,0.8,0.7,0.0,11.0,0.1,-4.6,0.0,0.3,130.0,4.0,0.7
Banana Clip - Spanish Version,57.0,202373.0,0.1,0.4,0.7,0.0,1.0,0.1,-5.6,0.0,0.1,83.8,4.0,0.7
YAKWTFGO (feat. Kali Uchis),44.0,162733.0,0.0,0.8,0.7,0.0,5.0,0.2,-6.0,0.0,0.1,132.0,4.0,0.2
Come With Me,47.0,157461.0,0.1,0.7,0.7,0.0,10.0,0.2,-4.0,1.0,0.0,162.0,4.0,0.3
Como Si Na,54.0,170997.0,0.2,0.7,0.8,0.0,9.0,0.2,-4.1,0.0,0.2,160.1,4.0,0.7
Blah,47.0,188440.0,0.0,0.7,0.7,0.0,11.0,0.1,-4.6,0.0,0.2,173.7,4.0,0.8
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64.0,253714.0,0.0,0.9,0.4,0.0,8.0,0.1,-7.6,0.0,0.5,140.0,4.0,0.6
Mi Infinita,56.0,272000.0,0.9,0.5,0.7,0.3,10.0,0.1,-7.6,1.0,0.0,119.9,4.0,0.1
Coqueta,49.0,174000.0,0.6,0.6,0.7,0.9,4.0,0.2,-10.6,1.0,0.0,115.0,4.0,0.6
Sola,65.0,209573.0,0.9,0.5,0.2,0.0,9.0,0.1,-10.3,1.0,0.1,174.3,4.0,0.2
Nuestro Planeta (feat. Reykon),52.0,202754.0,0.1,0.9,0.5,0.0,0.0,0.1,-6.5,0.0,0.1,96.0,4.0,0.4
Hijo de Su Madre,61.0,178009.0,0.1,0.8,0.6,0.4,5.0,0.3,-7.1,1.0,0.1,118.1,4.0,0.7
Lento,65.0,169251.0,0.1,0.8,0.6,0.0,11.0,0.1,-5.3,0.0,0.2,164.0,4.0,0.9
Dicen,77.0,220826.0,0.1,0.8,0.6,0.0,5.0,0.2,-5.7,0.0,0.1,103.0,4.0,0.8
BEBE,95.0,217822.0,0.2,0.6,0.9,0.0,0.0,0.1,-3.6,1.0,0.1,102.1,4.0,0.3
I Like It,95.0,253390.0,0.1,0.8,0.7,0.0,5.0,0.4,-4.0,0.0,0.1,136.0,4.0,0.7
Zooted (feat. French Montana & Farruko),74.0,217652.0,0.3,0.8,0.6,0.0,6.0,0.3,-5.1,1.0,0.1,110.0,4.0,0.6
Havana - Remix,77.0,199095.0,0.4,0.8,0.6,0.0,2.0,0.1,-4.0,1.0,0.0,105.0,4.0,0.3
Pum Pum,45.0,185743.0,0.1,0.7,0.9,0.0,4.0,0.1,-1.5,0.0,0.1,93.0,4.0,0.6
Quiero Saber,52.0,166253.0,0.0,0.7,0.8,0.0,6.0,0.3,-5.5,0.0,0.0,103.0,4.0,0.6
Como,38.0,234373.0,0.0,0.5,0.8,0.0,9.0,0.1,-3.6,1.0,0.1,92.0,4.0,0.7
Anywhere Contigo,46.0,193846.0,0.3,0.8,0.8,0.0,9.0,0.1,-4.3,1.0,0.1,104.0,4.0,0.8
No Gratis,44.0,208800.0,0.4,0.8,0.5,0.0,7.0,0.1,-9.5,1.0,0.2,147.2,4.0,1.0
Díganle - Tainy Remix,75.0,211437.0,0.1,0.8,0.8,0.0,1.0,0.3,-4.7,0.0,0.1,92.0,4.0,0.6
Sangria Wine,75.0,202853.0,0.2,0.8,0.7,0.0,1.0,0.1,-3.6,0.0,0.1,132.1,4.0,0.7
All Day,45.0,198386.0,0.1,0.8,0.5,0.0,2.0,0.2,-8.6,1.0,0.0,121.0,4.0,0.8
Just As I Am,53.0,224413.0,0.2,0.7,0.8,0.0,8.0,0.1,-5.8,0.0,0.1,129.9,4.0,0.7
Nice & Slow,38.0,218448.0,0.0,0.8,0.6,0.0,5.0,0.3,-4.6,0.0,0.0,127.0,4.0,0.7
Scooby Doo Pa Pa (Remix),60.0,176702.0,0.2,0.9,1.0,0.0,1.0,0.3,-1.4,1.0,0.2,120.9,4.0,0.5
Don't Werk,39.0,133120.0,0.1,0.7,0.6,0.0,7.0,0.3,-8.7,1.0,0.1,123.2,4.0,0.4
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88.0,201526.0,0.2,0.8,0.9,0.0,1.0,0.1,-3.1,0.0,0.1,95.0,4.0,0.8
Pa Mi (with Ozuna),77.0,216689.0,0.1,0.6,0.6,0.0,1.0,0.1,-7.5,0.0,0.1,133.2,5.0,0.7
Lo Siento,68.0,226183.0,0.1,0.7,0.7,0.0,9.0,0.0,-3.7,1.0,0.2,94.8,4.0,0.6
"Nuestra Cancion Pt. 2 (feat. Arcángel)",46.0,215003.0,0.0,0.5,0.8,0.0,8.0,0.1,-4.1,1.0,0.1,99.9,4.0,0.6
La Hora Loca,44.0,175239.0,0.0,0.8,0.7,0.0,7.0,0.1,-5.4,0.0,0.1,126.0,4.0,0.8
Dinero - English Version,37.0,161093.0,0.0,0.7,0.8,0.0,11.0,0.1,-4.7,0.0,0.1,120.0,4.0,0.5
Pum Pum (feat. Kap G & Play-N-Skillz),53.0,182224.0,0.1,0.9,0.6,0.0,10.0,0.1,-8.3,0.0,0.1,92.0,4.0,0.6
Hora Loca,65.0,215421.0,0.1,0.7,0.8,0.0,7.0,0.1,-5.4,0.0,0.1,166.2,4.0,0.7
Better With You,68.0,196018.0,0.3,0.8,0.4,0.0,5.0,0.1,-7.9,1.0,0.1,90.0,4.0,0.5
NIGHTS LIKE THESE,59.0,204453.0,0.1,0.5,0.7,0.0,2.0,0.1,-4.9,1.0,0.2,78.8,4.0,0.4
Alright,43.0,229038.0,0.0,0.6,0.6,0.0,5.0,0.1,-5.6,1.0,0.0,85.0,4.0,0.3
Insecure,53.0,191906.0,0.4,0.5,0.7,0.0,10.0,0.1,-3.2,0.0,0.2,185.5,4.0,0.5
Si Una Vez - (If I Once)[Spanglish Version],54.0,237860.0,0.1,0.6,0.8,0.0,5.0,0.1,-2.4,1.0,0.1,175.9,4.0,0.4
Finesse (Remix) [feat. Cardi B],84.0,217288.0,0.0,0.7,0.9,0.0,5.0,0.0,-4.9,0.0,0.1,105.1,4.0,0.9
Belong To U,44.0,202574.0,0.6,0.6,0.8,0.0,1.0,0.1,-5.7,1.0,0.0,100.9,4.0,0.5
Sunny Daze,40.0,167823.0,0.6,0.9,0.7,0.0,7.0,0.1,-6.2,1.0,0.1,92.4,4.0,0.8
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41.0,241135.0,0.1,0.8,0.8,0.0,7.0,0.1,-4.5,1.0,0.1,105.0,4.0,0.8
Island,37.0,194011.0,0.1,0.7,0.8,0.0,2.0,0.2,-5.0,0.0,0.1,109.9,4.0,0.4
Crazy In Love,79.0,236133.0,0.0,0.6,0.8,0.0,2.0,0.1,-6.6,0.0,0.2,99.2,4.0,0.7
Rock Your Body,74.0,267266.0,0.2,0.9,0.7,0.0,4.0,0.1,-6.1,0.0,0.1,101.0,4.0,0.8
Beautiful Girls,10.0,241933.0,0.2,0.7,0.7,0.0,9.0,0.3,-5.9,1.0,0.1,130.0,4.0,0.7
Toxic,60.0,198813.0,0.0,0.8,0.8,0.0,5.0,0.2,-3.9,0.0,0.1,143.0,4.0,0.9
Michael Jackson x Mark Ronson: Diamonds are Invincible,70.0,300026.0,0.3,0.7,0.8,0.0,11.0,0.2,-2.4,0.0,0.3,117.3,4.0,0.5
Yeah!,79.0,250373.0,0.0,0.9,0.8,0.0,2.0,0.0,-4.7,1.0,0.1,105.0,4.0,0.6
Live Your Life (feat. Rihanna),76.0,338853.0,0.1,0.4,0.9,0.0,11.0,0.2,-3.4,0.0,0.3,159.8,4.0,0.5
Hips Don't Lie,84.0,218093.0,0.3,0.8,0.8,0.0,10.0,0.4,-5.9,0.0,0.1,100.0,4.0,0.8
"Hey, Soul Sister",77.0,216666.0,0.2,0.7,0.9,0.0,1.0,0.1,-4.4,0.0,0.0,97.0,4.0,0.8
Pumped Up Kicks,84.0,239600.0,0.1,0.7,0.7,0.1,5.0,0.1,-5.8,0.0,0.0,128.0,4.0,1.0
Love Never Felt so Good,74.0,246026.0,0.1,0.8,0.7,0.0,7.0,0.1,-6.2,0.0,0.0,117.5,4.0,0.7
Hall of Fame,73.0,202533.0,0.1,0.4,0.9,0.0,10.0,0.1,-4.3,1.0,0.1,84.8,4.0,0.6
All of Me,85.0,269560.0,0.9,0.4,0.3,0.0,8.0,0.1,-7.1,1.0,0.0,119.9,4.0,0.3
Drops of Jupiter,78.0,259933.0,0.2,0.5,0.6,0.0,0.0,0.2,-5.9,1.0,0.0,79.3,4.0,0.5
We Can't Stop,78.0,231240.0,0.0,0.6,0.6,0.0,1.0,0.4,-5.8,0.0,0.0,80.0,4.0,0.5
Fighter,69.0,245960.0,0.2,0.4,0.9,0.0,4.0,0.6,-1.4,0.0,0.2,188.9,4.0,0.5
Since U Been Gone,75.0,188960.0,0.0,0.7,0.7,0.0,0.0,0.1,-5.4,1.0,0.0,131.0,4.0,0.4
Hey Ya! - Radio Mix / Club Mix,76.0,235213.0,0.1,0.7,1.0,0.0,4.0,0.2,-2.3,0.0,0.1,79.5,4.0,1.0
TiK ToK,71.0,199693.0,0.1,0.8,0.8,0.0,2.0,0.3,-2.7,0.0,0.1,120.0,4.0,0.7
Look At Me Now,71.0,223933.0,0.0,0.8,0.7,0.0,11.0,0.2,-5.7,0.0,0.2,146.1,4.0,0.6
SexyBack,77.0,242733.0,0.1,1.0,0.6,0.0,7.0,0.1,-5.6,0.0,0.1,117.0,4.0,1.0
With You,69.0,252160.0,0.1,0.7,0.7,0.0,3.0,0.1,-4.3,1.0,0.1,86.0,4.0,0.7
Breakeven,76.0,261426.0,0.2,0.6,0.7,0.0,10.0,0.1,-4.5,1.0,0.0,94.0,4.0,0.5
I Know You Want Me (Calle Ocho),65.0,237120.0,0.0,0.8,0.7,0.0,2.0,0.2,-6.0,1.0,0.1,127.0,4.0,0.8
Bye Bye Bye,73.0,200400.0,0.0,0.6,0.9,0.0,8.0,0.1,-4.8,0.0,0.0,172.6,4.0,0.9
Complicated,77.0,244506.0,0.1,0.6,0.8,0.0,5.0,0.3,-5.9,1.0,0.0,78.0,4.0,0.4
Let Me Love You,80.0,256733.0,0.2,0.7,0.6,0.0,7.0,0.1,-9.0,0.0,0.1,94.5,4.0,0.6
Beautiful,73.0,238560.0,0.6,0.5,0.6,0.0,5.0,0.1,-3.9,0.0,0.0,76.2,4.0,0.1
Raise Your Glass,54.0,203306.0,0.0,0.7,0.7,0.0,7.0,0.0,-4.9,1.0,0.1,122.0,4.0,0.6
Timber,75.0,204160.0,0.0,0.6,1.0,0.0,11.0,0.1,-4.1,1.0,0.1,130.0,4.0,0.8
What Makes You Beautiful,69.0,198053.0,0.0,0.7,0.8,0.0,4.0,0.1,-2.5,1.0,0.1,125.0,4.0,0.9
No One,79.0,253813.0,0.0,0.6,0.6,0.0,1.0,0.1,-5.4,0.0,0.0,90.0,4.0,0.2
Sk8er Boi,67.0,204000.0,0.0,0.5,0.9,0.0,0.0,0.4,-4.4,1.0,0.0,149.9,4.0,0.5
Womanizer,76.0,224400.0,0.1,0.7,0.7,0.0,11.0,0.1,-5.2,1.0,0.1,139.0,4.0,0.2
Give Me Everything,75.0,252306.0,0.2,0.7,0.9,0.0,8.0,0.3,-3.2,1.0,0.2,129.0,4.0,0.5
Single Ladies (Put a Ring on It),72.0,193213.0,0.0,0.4,0.6,0.0,1.0,0.2,-5.3,1.0,0.3,193.4,4.0,0.3
Bleeding Love,81.0,262466.0,0.2,0.6,0.7,0.0,5.0,0.1,-5.9,1.0,0.0,104.0,4.0,0.2
Lose My Breath,63.0,242013.0,0.0,0.8,0.9,0.2,1.0,0.1,-6.0,1.0,0.1,119.0,4.0,0.5
Love Song,77.0,258826.0,0.0,0.6,0.8,0.0,2.0,0.2,-3.1,0.0,0.0,123.1,4.0,0.6
Ms. Jackson,78.0,270506.0,0.1,0.8,0.8,0.0,4.0,0.1,-5.9,0.0,0.3,94.9,4.0,0.6
Die Young,72.0,211920.0,0.0,0.7,0.7,0.0,1.0,0.2,-4.8,0.0,0.0,128.0,4.0,0.8
Survivor,62.0,254040.0,0.1,0.5,0.9,0.0,8.0,0.8,-2.1,1.0,0.4,161.2,4.0,0.7
Oops!...I Did It Again,77.0,211160.0,0.3,0.8,0.8,0.0,1.0,0.4,-5.4,0.0,0.0,95.1,4.0,0.9
Cry Me a River,77.0,288333.0,0.6,0.6,0.7,0.0,8.0,0.1,-6.6,0.0,0.2,73.9,4.0,0.6
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77.0,248413.0,0.0,0.8,0.8,0.0,6.0,0.1,-9.0,0.0,0.0,116.0,4.0,0.9
Whatever You Like,75.0,249533.0,0.0,0.7,0.7,0.0,9.0,0.3,-6.2,0.0,0.1,150.1,4.0,0.5
"One, Two Step",78.0,203786.0,0.0,0.9,0.5,0.0,5.0,0.0,-11.0,0.0,0.2,113.0,4.0,0.8
Unwritten,77.0,259333.0,0.0,0.7,0.8,0.0,5.0,0.1,-6.3,1.0,0.0,100.0,4.0,0.6
Wrecking Ball,74.0,221360.0,0.4,0.5,0.4,0.0,5.0,0.1,-6.3,1.0,0.0,120.0,4.0,0.3
So What,65.0,215160.0,0.0,0.5,0.9,0.0,11.0,0.3,-3.1,1.0,0.0,126.0,4.0,0.4
"Whenever, Wherever",76.0,196160.0,0.2,0.8,0.8,0.0,1.0,0.2,-4.9,0.0,0.0,107.7,4.0,0.9
Baby Boy,69.0,244826.0,0.1,0.7,0.5,0.0,1.0,0.2,-9.2,1.0,0.2,91.0,4.0,0.8
It's Gonna Be Me,67.0,192426.0,0.0,0.6,0.9,0.0,0.0,0.0,-4.7,0.0,0.1,165.1,4.0,0.9
My Boo,77.0,223440.0,0.3,0.7,0.5,0.0,5.0,0.0,-8.2,1.0,0.1,86.4,4.0,0.7
Stronger (What Doesn't Kill You),52.0,221920.0,0.0,0.6,0.9,0.0,0.0,0.1,-5.9,1.0,0.0,116.0,4.0,0.7
Over My Head (Cable Car),60.0,236373.0,0.0,0.6,0.7,0.0,8.0,0.1,-5.2,1.0,0.0,116.0,4.0,0.7
For the First Time,65.0,252853.0,0.0,0.4,0.6,0.0,9.0,0.2,-4.8,1.0,0.0,173.8,4.0,0.4
Girlfriend,69.0,216600.0,0.0,0.6,1.0,0.0,7.0,0.2,-2.4,1.0,0.1,164.0,4.0,0.7
Fallin',76.0,210200.0,0.3,0.7,0.6,0.0,11.0,0.2,-7.5,0.0,0.0,96.0,3.0,0.5
How to Save a Life,83.0,262533.0,0.3,0.6,0.7,0.0,10.0,0.1,-4.1,1.0,0.0,122.0,4.0,0.4
Not Over You,69.0,218520.0,0.3,0.6,0.9,0.0,10.0,0.2,-4.6,1.0,0.1,142.1,4.0,0.4
Before He Cheats,73.0,199946.0,0.3,0.5,0.7,0.0,6.0,0.1,-3.3,0.0,0.0,147.9,4.0,0.3
Dirrty (feat. Redman),72.0,298853.0,0.1,0.6,0.9,0.0,2.0,0.3,-3.1,1.0,0.3,99.9,4.0,0.4
Caught Up,31.0,224946.0,0.0,0.8,0.8,0.0,6.0,0.1,-4.6,1.0,0.1,110.1,4.0,0.7
If I Ain't Got You,81.0,228706.0,0.6,0.6,0.4,0.0,7.0,0.1,-9.1,1.0,0.1,118.4,3.0,0.2
Wherever You Will Go,67.0,209360.0,0.0,0.6,0.7,0.0,2.0,0.1,-6.2,1.0,0.0,112.0,4.0,0.4
You Found Me,76.0,241853.0,0.0,0.3,0.8,0.0,8.0,0.1,-5.4,0.0,0.0,152.0,4.0,0.4
"Independent Women, Pt. 1",63.0,221626.0,0.4,0.5,0.6,0.0,6.0,0.2,-3.8,0.0,0.3,96.9,4.0,0.9
Because of You,75.0,219493.0,0.3,0.6,0.6,0.0,5.0,0.1,-5.4,0.0,0.0,140.0,4.0,0.1
Get The Party Started,67.0,191666.0,0.0,0.8,0.9,0.0,11.0,0.2,-3.4,0.0,0.0,128.9,4.0,1.0
The Anthem,73.0,175093.0,0.0,0.5,0.9,0.0,1.0,0.1,-3.1,1.0,0.1,177.8,4.0,0.9
I Don't Want to Be,63.0,217760.0,0.0,0.4,0.9,0.0,0.0,0.1,-5.1,0.0,0.1,154.7,4.0,0.5
The Way You Move (feat. Sleepy Brown) - Club Mix,68.0,234000.0,0.1,0.9,0.6,0.0,5.0,0.1,-4.9,0.0,0.0,126.0,4.0,0.6
Better in Time,73.0,234173.0,0.5,0.6,0.7,0.0,6.0,0.1,-4.3,1.0,0.1,164.0,4.0,0.5
Over You,64.0,204853.0,0.0,0.4,0.9,0.0,3.0,0.1,-2.6,1.0,0.0,156.1,4.0,0.6
The Great Escape,67.0,206520.0,0.0,0.4,0.9,0.0,1.0,0.2,-4.0,0.0,0.1,149.9,4.0,0.5
Your Body Is a Wonderland,78.0,249626.0,0.0,0.6,0.7,0.0,5.0,0.1,-6.3,1.0,0.0,94.0,4.0,0.7
Superman (It's Not Easy),48.0,222000.0,0.3,0.5,0.4,0.0,0.0,0.1,-9.7,1.0,0.0,106.5,4.0,0.2
Vivir Mi Vida,68.0,251160.0,0.3,0.7,0.9,0.0,8.0,0.4,-3.2,1.0,0.0,105.0,4.0,0.9
La Vida Es Un Carnaval,24.0,275253.0,0.4,0.8,0.7,0.0,8.0,0.2,-6.2,1.0,0.1,104.0,4.0,0.8
Lambada - Original Version 1989,67.0,207466.0,0.2,0.8,0.8,0.0,5.0,0.0,-5.2,1.0,0.0,118.9,4.0,1.0
La Camisa Negra,29.0,216706.0,0.1,0.8,0.7,0.0,6.0,0.1,-4.4,0.0,0.0,97.0,4.0,1.0
La Gota Fría,66.0,215493.0,0.1,0.7,0.8,0.0,1.0,0.2,-10.2,1.0,0.1,100.8,4.0,1.0
Suavemente,63.0,267000.0,0.3,0.8,0.9,0.0,8.0,0.0,-3.0,1.0,0.1,124.1,4.0,0.9
Bailando - Spanish Version,71.0,243413.0,0.0,0.7,0.8,0.0,7.0,0.0,-3.5,1.0,0.1,91.0,4.0,1.0
